date,machine,dai,totalStarts,estimatedDiffBalls,jackpot,continuations,initialHits,maxContinuation,jackpotProbability,finalStarts,maxPayout,updateText,url
2026-06-16,P新世エヴァ15未来への咆哮,0196,348,,0,0,0,0,,348,20,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0196
2026-06-16,P新世エヴァ15未来への咆哮,0197,969,,3,2,1,2,1/323,350,3210,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0197
2026-06-16,P新世エヴァ15未来への咆哮,0198,1666,,6,3,3,3,1/277.7,21,4580,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0198
2026-06-16,P新世エヴァ15未来への咆哮,0199,725,,5,2,3,2,1/145,103,4200,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0199
2026-06-16,P新世エヴァ15未来への咆哮,0200,1695,,16,13,3,11,1/106,29,18360,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0200
2026-06-16,P新世エヴァ15未来への咆哮,0201,1308,,10,6,4,4,1/130.8,184,7470,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0201
2026-06-16,P新世エヴァ15未来への咆哮,0202,1695,,7,3,4,3,1/242.2,98,4600,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0202
2026-06-16,P新世エヴァ15未来への咆哮,0203,2643,,30,27,3,17,1/88.1,42,30360,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0203
2026-06-16,P新世エヴァ15未来への咆哮,0204,1478,,8,6,2,6,1/184.8,70,7790,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0204
2026-06-16,P新世エヴァ15未来への咆哮,0205,1202,,5,2,3,2,1/240.4,57,3210,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0205
2026-06-16,P新世エヴァ15未来への咆哮,0206,1198,,5,2,3,2,1/239.6,156,3220,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0206
2026-06-16,P新世エヴァ15未来への咆哮,0207,1603,,2,0,2,0,1/801.5,481,430,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0207
2026-06-16,P新世エヴァ15未来への咆哮,0208,1133,,3,2,1,2,1/377.7,221,3210,2026/06/16 23:26 更新,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0208
