date,machine,dai,url,totalStarts,jackpot,continuations,initialHits,maxPayout,existingEstimatedDiffBalls,diffBallsFromApi,diffBallsFromSvg,diffBallsFinal,diffBallsMethod,diffBallsConfidence,graphEndpointUsed,graphPointCount,graphLastPointRaw,graphZeroLine,graphScaleInfo,fetchStatus,httpStatus,errorType,errorMessage,notes
2026-06-16,e新世紀エヴァ17はじまりR,0214,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0214,1597,8,4,4,4760,-12600,,,-12600,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1597 | maxPayout: today=0, 1d_ago=4760 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0215,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0215,3049,56,54,2,58210,43500,,,43500,csv_existing,csv_manual,,,,,,api_blocked_451,451,api_not_json,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=3049 | maxPayout: today=0, 1d_ago=58210 | debug_cache: status=451, is_json=False | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0216,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0216,3015,36,34,2,29320,15800,,,15800,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=3015 | maxPayout: today=0, 1d_ago=29320 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0217,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0217,2583,11,6,5,7000,-19700,,,-19700,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2583 | maxPayout: today=0, 1d_ago=7000 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0218,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0218,2242,12,8,4,7130,-11100,,,-11100,csv_existing,csv_manual,,,,,,existing_in_csv,,,,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2242 | maxPayout: today=0, 1d_ago=7130 | diff from original CSV (likely manual entry or codex browser)"
2026-06-16,e新世紀エヴァ17はじまりR,0219,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0219,2806,41,36,5,31280,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2806 | maxPayout: today=0, 1d_ago=31280"
2026-06-16,e新世紀エヴァ17はじまりR,0220,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0220,2227,19,16,3,16750,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=2227 | maxPayout: today=0, 1d_ago=16750"
2026-06-16,P新世エヴァ15未来への咆哮,0191,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0191,831,5,4,1,5880,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=831 | maxPayout: today=0, 1d_ago=5880"
2026-06-16,P新世エヴァ15未来への咆哮,0192,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0192,1134,5,4,1,5960,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1134 | maxPayout: today=0, 1d_ago=5960"
2026-06-16,P新世エヴァ15未来への咆哮,0193,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0193,1389,5,3,2,3200,,,,,none,missing,,,,,,no_diff_source,,never_attempted,No fetch attempt recorded for this machine,"history_cache: status=ok, histRows=0, update=2026/06/17 10:25 更新 | starts: today=0, 1d_ago=1389 | maxPayout: today=0, 1d_ago=3200"
