date,storeName,machine,dai,totalStarts,normalStartsMin,normalStartsMid,normalStartsMax,normalStartsRange,normalStartsRangeRate,supportStartsMin,supportStartsMid,supportStartsMax,jackpot,continuations,initialHits,knownRunThroughCount,unknownRunThroughCount,finalStarts,maxPayout,estimatedDiffBalls,diffBallsConfidence,rotationRateMin,rotationRateMid,rotationRateMax,expectedValueMin,expectedValueMid,expectedValueMax,expectedHourlyMin,expectedHourlyMid,expectedHourlyMax,confidence,confidenceReason,fetchStatus,rankingEligible,rankByExpectedHourlyMin,rankByExpectedHourlyMid,rankByRotationRateMin,rankByRotationRateMid,rankByNormalStarts,rankByEstimatedDiffBalls,url,notes
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0211,2858,1278,1687.5,2097,819,0.4855,761,1170.5,1580,16,10,6,0,6,300,11470,-14100,graph_estimated,7.06,9.33,11.59,-93815,-72118,-50420,-16152,-9402,-5289,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1170.5, supportBand=409.7",history_empty_for_target_date,FALSE,,,,,,6,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0211,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0212,2587,0,618.6,1237,1237,2.0,1350,2076.8,2587,27,24,3,0,3,383,22910,9900,graph_estimated,,11.89,23.77,,-13704,19057,,-4874,3389,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=2076.8, supportBand=726.9",history_empty_for_target_date,FALSE,,,,,,3,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0212,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0213,2065,1780,1922.2,2065,286,0.1485,0,128.5,286,2,0,2,0,2,1508,280,-25600,graph_estimated,12.37,13.36,14.35,-34226,-26666,-19105,-4231,-3052,-2035,C-,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=128.5, supportBand=157.0",history_empty_for_target_date,TRUE,1,1,1,1,1,8,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0213,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0214,1597,826,1026.0,1226,400,0.3896,371,571.0,771,8,4,4,0,4,513,4760,-12600,graph_estimated,6.19,7.69,9.19,-75335,-64750,-54166,-20061,-13884,-9721,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=571.0, supportBand=199.8",history_empty_for_target_date,FALSE,,,,,,5,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0214,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0215,3049,0,533.6,1067,1067,2.0,1982,3049.0,3049,56,54,2,0,2,218,58210,43500,graph_estimated,,9.07,18.14,,-24276,3984,,-10009,821,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=3049.0, supportBand=1067.1",history_empty_for_target_date,FALSE,,,,,,1,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0215,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0216,3015,0,598.3,1197,1197,2.0,1818,2797.5,3015,36,34,2,0,2,0,29320,15800,graph_estimated,,11.06,22.13,,-16597,15091,,-6103,2775,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=2797.5, supportBand=979.1",history_empty_for_target_date,FALSE,,,,,,2,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0216,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0217,2583,1513,1790.8,2068,555,0.3097,515,792.2,1070,11,6,5,0,5,230,7000,-19700,graph_estimated,8.29,9.81,11.33,-82813,-68127,-53441,-12038,-8370,-5685,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=792.2, supportBand=277.3",history_empty_for_target_date,FALSE,,,,,,7,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0217,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0218,2242,1047,1357.0,1667,620,0.4565,575,885.0,1195,12,8,4,0,4,0,7130,-11100,graph_estimated,8.22,10.65,13.08,-58268,-41862,-25457,-12241,-6787,-3360,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=885.0, supportBand=309.8",history_empty_for_target_date,FALSE,,,,,,4,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0218,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0219,2806,0,491.0,982,982,2.0,1824,2806.0,2806,41,36,5,0,5,150,31280,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=2806.0, supportBand=982.1",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0219,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,e新世紀エヴァ17はじまりR,0220,2227,271,778.2,1285,1014,1.3031,942,1448.8,1956,19,16,3,0,3,0,16750,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1448.8, supportBand=507.1",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0220,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ17 | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0191,831,276,439.2,602,326,0.7422,229,391.8,555,5,4,1,0,1,379,5880,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=391.8, supportBand=163.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0191,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0192,1134,579,742.2,905,326,0.4392,229,391.8,555,5,4,1,0,1,229,5960,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=391.8, supportBand=163.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0192,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0193,1389,850,1013.0,1176,326,0.3218,213,376.0,539,5,3,2,0,2,312,3200,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=376.0, supportBand=163.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0193,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0194,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,missing,,,,,,,,,,A,大当たり0のため電サポ控除なし,skipped_no_jackpot,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0194,"履歴不要で通常回転は累計スタート相当と推定 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0195,2233,316,813.2,1310,994,1.222,923,1419.8,1917,18,15,3,0,3,126,14650,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=1419.8, supportBand=496.9",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0195,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0196,348,348,348,348,0,0.0,0,0,0,0,0,0,0,0,348,20,,missing,,,,,,,,,,A,大当たり0のため電サポ控除なし,skipped_no_jackpot,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0196,"履歴不要で通常回転は累計スタート相当と推定 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0197,969,577,740.2,903,326,0.4404,66,228.8,392,3,2,1,0,1,350,3210,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=228.8, supportBand=163.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0197,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
2026-06-16,ハイパーアロー美原,P新世エヴァ15未来への咆哮,0198,1666,1061,1224.2,1387,326,0.2663,279,441.8,605,6,3,3,0,3,21,4580,,missing,,,,,,,,,,D,"履歴なしのため台一覧サマリーから暫定レンジ化: history_empty_for_target_date; supportMid=441.8, supportBand=163.0",history_empty_for_target_date,FALSE,,,,,,,https://www.pscube.jp/dedamajyoho-P-townDMMpachi/c732925/cgi-bin/nc-v06-001.php?cd_dai=0198,"履歴なし暫定推定。差玉確認用で、回転率/期待値は要再検証 | spec=エヴァ | rotation uses estimated used balls = max(maxPayout, initialHits*heikin*heiren) - estimatedDiffBalls | estimatedDiffBalls missing; rotation/EV blank"
